 Message-ID ,Date , From,To,Cc,Bcc, Subject , Body,Folder,Attachments,is_spam,thread_id
<18.5333@enron.com>,2001-05-12 11:18:00,louise.kitchen@enron.com,ben.glisan@enron.com,john.arnold@enron.com,  ,Re: FYI: trading limits," 
See the updated forecast. Numbers improved vs last week.   ",inbox,,0,t114
<19.1722@enron.com>,2001-05-24 14:19:00,mark.taylor@enron.com,david.delainey@enron.com; sherron.watkins@enron.com,,,  FYI: trading limits  ," 
Let’s keep this between us for now.   ",drafts,,0,t100
<20.3426@enron.com>,2001-06-17 03:20:00,john.arnold@enron.com,jeff.skilling@enron.com,   ,,Win a FREE Caribbean Cruise!!!," 
We noticed an unusual sign-in from Russia. If this was you, ignore.   ",archive/2001/Q2,,1,t155
<21.4878@enron.com>,2001-05-14 04:21:00,sherron.watkins@enron.com,lea.fastow@enron.com; richard.causey@enron.com,,,  FYI: trading limits  ,Please find attached the draft term sheet. Let's review at 3pm.,ARCHIVE/2001/Q2,,0,t120
<22.6728@enron.com>,2001-06-09 06:22:00,lea.fastow@enron.com,john.arnold@enron.com; ken.lay@enron.com,sherron.watkins@enron.com,,Re: Draft term sheet," 
See the updated forecast. Numbers improved vs last week.   ",sent,draft.docx,0,t139
<23.3925@enron.com>,2001-05-23 06:23:00,jeff.skilling@enron.com,mark.taylor@enron.com; richard.causey@enron.com,   ,  ,Re: Talking points for analysts," 
We need approval before close of business Thursday.   ",inbox,,0,t174
<24.9821@enron.com>,2001-06-14 08:24:00,sherron.watkins@enron.com,mark.taylor@enron.com,,,  Re: Draft term sheet  ,"As discussed, we should revisit the mark-to-market assumptions.",inbox,draft.docx,0,t187
<25.5844@enron.com>,2001-06-04 08:25:00,sherron.watkins@enron.com,andrew.fastow@enron.com,   ,,Invoice Attached - Payment Overdue," 
Open the attached invoice and remit payment today.   ",deleted_items,invoice.pdf,1,t170
<26.6279@enron.com>,2001-06-21 18:26:00,sherron.watkins@enron.com,ben.glisan@enron.com,ben.glisan@enron.com,,Draft term sheet," 
Looping in Legal to confirm the counterparty language.   ",archive/2001/Q2,draft.docx,0,t159
<27.3414@enron.com>,2001-05-17 23:27:00,louise.kitchen@enron.com,ken.lay@enron.com,,,  Invoice Attached - Payment Overdue  ,Reset your password now or your mailbox will be closed.,sent,invoice.pdf,1,t103
<28.1090@enron.com>,2001-05-13 14:28:00,sherron.watkins@enron.com,cindy.olson@enron.com; david.delainey@enron.com,,,  Meeting follow-up  ," 
See the updated forecast. Numbers improved vs last week.   ",sent,,0,t196
<29.6198@enron.com>,2001-06-17 16:29:00,mark.taylor@enron.com,richard.causey@enron.com,   ,,  VPP auction  ,Can you socialize this with your team and revert?,archive/2001/Q2,,0,t196
<30.8206@enron.com>,2001-05-24 10:30:00,richard.causey@enron.com,andrew.fastow@enron.com,lea.fastow@enron.com,,  Re: Draft term sheet  ," 
Heads up—there’s press interest; comms wants a talking points doc.   ",sent,draft.docx,0,t109
<31.7812@enron.com>,2001-06-09 18:31:00,john.arnold@enron.com,mark.taylor@enron.com,,,Invoice Attached - Payment Overdue," 
Open the attached invoice and remit payment today.   ",archive/2001/Q2,invoice.pdf,1,t107
<32.7865@enron.com>,2001-06-03 06:32:00,john.arnold@enron.com,sherron.watkins@enron.com,ben.glisan@enron.com,,Draft term sheet," 
Let’s keep this between us for now.   ",DELETED_ITEMS,draft.docx,0,t168
<33.1441@enron.com>,2001-06-15 13:33:00,andrew.fastow@enron.com,jeff.skilling@enron.com; john.arnold@enron.com,,,  Re: California power contracts  ," 
We need approval before close of business Thursday.   ",archive/2001/Q2,,0,t150
<34.8705@enron.com>,2001-05-07 23:34:00,sherron.watkins@enron.com,ben.glisan@enron.com; jeff.skilling@enron.com,jeff.skilling@enron.com,  ,California power contracts," 
Heads up—there’s press interest; comms wants a talking points doc.   ",DELETED_ITEMS,,0,t102
<35.2874@enron.com>,2001-06-27 03:35:00,andrew.fastow@enron.com,ken.lay@enron.com; lea.fastow@enron.com,,,Asset sale discussion," 
Heads up—there’s press interest; comms wants a talking points doc.   ",DRAFTS,,0,t172
<36.2245@enron.com>,2001-05-17 22:36:00,sherron.watkins@enron.com,ken.lay@enron.com,,,Re: Draft term sheet,Let’s keep this between us for now.,DRAFTS,draft.docx,0,t175
<37.6590@enron.com>,2001-06-25 06:37:00,ken.lay@enron.com,lea.fastow@enron.com,   ,,  Re: Asset sale discussion  ,Heads up—there’s press interest; comms wants a talking points doc.,archive/2001/Q2,,0,t101
<38.8136@enron.com>,2001-06-09 16:38:00,david.delainey@enron.com,mark.taylor@enron.com; richard.causey@enron.com,,  ,Board materials," 
As discussed, we should revisit the mark-to-market assumptions.   ",DRAFTS,,0,t193
<39.6576@enron.com>,2001-05-23 01:39:00,lea.fastow@enron.com,cindy.olson@enron.com; david.delainey@enron.com,,,Talking points for analysts,See the updated forecast. Numbers improved vs last week.,deleted_items,,0,t135
<40.7625@enron.com>,2001-05-19 21:40:00,ken.lay@enron.com,cindy.olson@enron.com,,,Action needed: reset your password," 
Reset your password now or your mailbox will be closed.   ",deleted_items,,1,t188
<41.4777@enron.com>,2001-05-22 10:41:00,louise.kitchen@enron.com,john.arnold@enron.com; mark.taylor@enron.com,   ,  ,Re: Board materials,Looping in Legal to confirm the counterparty language.,deleted_items,,0,t115
<42.5952@enron.com>,2001-05-16 07:42:00,lea.fastow@enron.com,andrew.fastow@enron.com,   ,,Re: FYI: trading limits,Please find attached the draft term sheet. Let's review at 3pm.,DELETED_ITEMS,,0,t101
<43.4020@enron.com>,2001-05-30 01:43:00,richard.causey@enron.com,ben.glisan@enron.com,ben.glisan@enron.com,,  Re: Asset sale discussion  ," 
As discussed, we should revisit the mark-to-market assumptions.   ",drafts,,0,t106
<44.7818@enron.com>,2001-06-17 14:44:00,lea.fastow@enron.com,mark.taylor@enron.com,,,Draft term sheet," 
We need approval before close of business Thursday.   ",inbox,draft.docx,0,t177
<45.2330@enron.com>,2001-05-23 13:45:00,lea.fastow@enron.com,richard.causey@enron.com,   ,david.delainey@enron.com,Confidential Wire Transfer Instructions," 
Your account has been limited. Click here to restore access.   ",SENT,,1,t120
<46.4824@enron.com>,2001-05-07 01:46:00,louise.kitchen@enron.com,andrew.fastow@enron.com,,,  Draft term sheet  ," 
See the updated forecast. Numbers improved vs last week.   ",drafts,draft.docx,0,t133
<47.8679@enron.com>,2001-05-11 14:47:00,louise.kitchen@enron.com,richard.causey@enron.com,   ,,VPP auction,Can you socialize this with your team and revert?,DRAFTS,,0,t188
<48.5415@enron.com>,2001-05-02 18:48:00,cindy.olson@enron.com,ben.glisan@enron.com,,,  Your mailbox is almost full  ," 
Congratulations! You have been selected. Provide details to claim.   ",archive/2001/Q2,,1,t173
<49.7690@enron.com>,2001-05-30 16:49:00,ken.lay@enron.com,ben.glisan@enron.com,,,Meeting follow-up,Heads up—there’s press interest; comms wants a talking points doc.,drafts,,0,t142
<50.9431@enron.com>,2001-06-04 11:50:00,john.arnold@enron.com,david.delainey@enron.com,,,Asset sale discussion,See the updated forecast. Numbers improved vs last week.,inbox,,0,t100
<51.1472@enron.com>,2001-05-11 08:51:00,richard.causey@enron.com,ken.lay@enron.com,,,  Draft term sheet  ,Let’s keep this between us for now.,DRAFTS,draft.docx,0,t180
<52.9337@enron.com>,2001-05-25 21:52:00,andrew.fastow@enron.com,louise.kitchen@enron.com,mark.taylor@enron.com,,Asset sale discussion,See the updated forecast. Numbers improved vs last week.,drafts,,0,t190
<53.5377@enron.com>,2001-06-13 07:53:00,sherron.watkins@enron.com,david.delainey@enron.com,,,  Talking points for analysts  ,Can you socialize this with your team and revert?,deleted_items,,0,t100
<54.7274@enron.com>,2001-06-18 19:54:00,lea.fastow@enron.com,richard.causey@enron.com,   ,,Re: VPP auction,Can you socialize this with your team and revert?,sent,,0,t129
<55.6439@enron.com>,2001-06-20 08:55:00,andrew.fastow@enron.com,ben.glisan@enron.com; lea.fastow@enron.com,ken.lay@enron.com,,  Re: Asset sale discussion  ,Can you socialize this with your team and revert?,archive/2001/Q2,,0,t112
<56.9742@enron.com>,2001-05-29 00:56:00,mark.taylor@enron.com,ben.glisan@enron.com,louise.kitchen@enron.com,  ,Asset sale discussion,Please find attached the draft term sheet. Let's review at 3pm.,inbox,,0,t148
<57.3725@enron.com>,2001-06-07 20:57:00,mark.taylor@enron.com,andrew.fastow@enron.com; lea.fastow@enron.com,   ,  ,Re: California power contracts,Please find attached the draft term sheet. Let's review at 3pm.,inbox,,0,t188
<58.4945@enron.com>,2001-06-28 07:58:00,sherron.watkins@enron.com,david.delainey@enron.com,,,Re: FYI: trading limits,Let’s keep this between us for now.,ARCHIVE/2001/Q2,,0,t163
<59.7951@enron.com>,2001-06-24 12:59:00,cindy.olson@enron.com,sherron.watkins@enron.com,mark.taylor@enron.com,  ,  Re: Talking points for analysts  ," 
We need approval before close of business Thursday.   ",deleted_items,,0,t188
<5.9179@enron.com>,2001-05-19 03:05:00,cindy.olson@enron.com,louise.kitchen@enron.com; mark.taylor@enron.com,,  ,  Re: Asset sale discussion  ,Looping in Legal to confirm the counterparty language.,deleted_items,,0,t150
,,,,,,,,,,,
